category,jobDescription
ACCOUNTANT,"Utopiana NGO is seeking an Accountant who will perform
duties to run the book, keeping of Steghtsagortsaran (Art Factory) of
Utopiana NGO, direct, organize, plan, and control the accounting
activities. He/she will be in contact with the foreign sponsors of the
project."
ACCOUNTANT,"London-Yerevan Insurance Company is looking for a
candidate for the position of Accountant to implement accounting
activities under the supervision of Chief Accountant."
ACCOUNTANT,"Cascade Bank is looking for a motivated, proactive
candidate for the position of Accountant."
ACCOUNTANT,"Ecological nongovernmental organization Eco-club
""Tapan"" is looking for candidates for the position of Accountant to
implement accounting activities under the supervision of Chairman."
ACCOUNTANT,"Papazyan-Oskanyan Ltd is looking for a motivated,
professional candidate for the position of Accountant. The position
holder will carry out several accounting and reporting functions, and
other duties as assigned by the management of Papazyan-Oskanyan Ltd."
ACCOUNTANT,"Cascade Insurance ICJSC is looking for a motivated,
self-driven, highly professional candidate for the position of
Accountant. The successful incumbent will be responsible for overall
accounting of the company. The position holder will carry out several
accounting functions, and other duties as assigned. The Accountant will
report to the Chief Accountant of the company. Cascade Insurance is
looking for a well organized and hard working person able to work in a
western-style office environment towards the achievement of team goals."
ACCOUNTANT,"Reporting to the RFF Director the Accountant will be
primarily responsible for maintaining complete and accurate accounting
and records for all funding provided through the WTM credit facility."
ACCOUNTANT,"Under the direct supervision of Financial Controller
the incumbent will have various accounting responsibilities in Finance
department."
ACCOUNTANT,"""Alfa Pharm"" LLC is looking for a motivated,
self-driven and professional candidate for the position of Accountant.
The successful incumbent will carry out several accounting functions,
and other duties as assigned. The Accountant will report to the Chief
Accountant of the company."
ACCOUNTANT,"Under the direct supervision of Financial Controller
the incumbent will have various accounting responsibilities in Finance
department."
ACCOUNTANT,"Papazyan-Oskanyan Ltd is looking for a motivated,
professional candidate for the position of Accountant. The position
holder will carry out several accounting and reporting functions, and
other duties as assigned by the management of Papazyan-Oskanyan Ltd."
ACCOUNTANT,"The position holds the responsibility to ensure that
the financial procedures of the Project are in full compliance with the
Armenian Law. The main responsibilities include office accounting,
payments
and receipts."
ACCOUNTANT,"Knauf Armenia LLC is looking for a self-motivated,
proactive, professional candidate for the position of Accountant. The
Accountant will implemenent all accounting activities of the company,
perform duties and activities related to the accounting procedures,
taxation, financial and managment reporting."
ACCOUNTANT,"Cascade Insurance CJSC is looking for a motivated,
self-driven, highly professional candidate for the position of
Accountant. The successful incumbent will be responsible for overall
accounting of the company. The position holder will carry out several
accounting functions, and other duties as assigned. The Accountant will
report to the Chief Accountant of the company. Cascade Insurance is
looking for a well organized and hard working person able to work in a
western-style office environment towards the achievement of team goals."
ACCOUNTANT,"""Aregak"" UCO is seeking an Accountant to carry out the
accountancy of its Martuni and Vardenis branch offices."
ACCOUNTANT,"Cascade Bank is looking for a motivated, proactive
candidate for the position of Accountant."
ACCOUNTANT,"WV is seeking an Accountant to assist in maintaining
financial records by preparing accounting reports and statements,
reconciling accounts, and processing/reviewing journal entries and
vouchers."
ACCOUNTANT,"Aregak UCO is seeking an Accountant for its
Martuni-Vardenis branches. The Accountant of the branches will organize,
realize and manage all accounting process of the branches."
ACCOUNTANT,"Under the supervision of the Senior Accountant of the
office, the selected candidate will be in charge of a part of daily
accounting operations according to the company's internal organization."
ACCOUNTANT,"Cambric USA"" in cooperation with ""ITC Armenia is
looking for an Accountant to perform accounting records and other tasks
as required by the Financial and Accounting Manager."
ACCOUNTANT,"Career Center announces a new opening of the
Accountant position for its partner Pharmaceutical Company. The
Accountant will carry out the responsibilities of Chief Accountant and
will report directly to the Head of Office."
ACCOUNTANT,"Valletta LLC is looking for a motivated, proactive
candidate for the position of Accountant to implement all accounting
activities of the company. The Accountant will perform duties and
activities related to the accounting procedures, taxation, financial and
management reporting, etc."
ACCOUNTANT,"Redinet CJSC is looking for a candidate for the
position of Accountant to implement all accounting activities of the
company."
ACCOUNTANT,"Cascade Insurance ICJSC is looking for a motivated,
self-driven, highly professional candidate for the position of
Accountant. The successful incumbent will be responsible for overall
accounting of the company. The position holder will carry out several
accounting functions, and other duties as assigned. The Accountant will
report to the Chief Accountant of the company. Cascade Insurance is
looking for a well organized and hard working person able to work in a
western-style office environment towards the achievement of team goals."
ACCOUNTANT,"Arge Business LLC is looking for a self-motivated and
professional candidate for the position of Accountant. The Accountant
will implement accounting activities of the Company, perform duties and
activities related to the accounting procedures and taxation."
ACCOUNTANT,"Valletta LLC is looking for a motivated, proactive
candidate for the position of Accountant to implement all accounting
activities of the company. The Accountant will perform duties and
activities related to accounting procedures, taxation, financial and
management reporting, etc."
ACCOUNTANT,"Women's Rights Center NGO is looking for a motivated,
proactive candidate for the position of Accountant to implement all
accounting activities of the organization."
ACCOUNTANT,"Nina Hovnanian Couture is looking for an excellent
Accountant to work with the Chief Accountant to solidify the company's
financial reporting practices and insure that it presents a financial
story that is compelling to international markets and investors."
ACCOUNTANT,"Mavas Group LLC is looking for a motivated, proactive
candidate for the position of Accountant to implement all accounting
activities of the organization."
ACCOUNTANT,"SAS-Group is seeking an Accountant to perform general
accounting activities."
ACCOUNTANT,"Career Center announces a vacancy for an Accountant
position for its partner Pharmaceutical Company. The Accountant will
carry out the responsibilities of Chief Accountant and will report
directly to the Head of Office."
ACCOUNTANT,"iCON Communications is looking for a motivated,
proactive candidate for the position of Accountant to implement
accounting activities of the company."
ACCOUNTANT,"SAS-Group is seeking an Accountant to perform general
accounting activities."
ACCOUNTANT,"The incumbent will participate in the implementation
of accounting under responsibility of Chief Accountant."
ACCOUNTANT,"The incumbent will participate in the implementation
of accounting under responsibility of Chief Accountant."
ACCOUNTANT,"Under the direct supervision of CARDs Finance Manager
the incumbent acts as the Accountant for all financial operations of
CARD. This position is located in CARDs Finance Department."
ACCOUNTANT,"Orange Armenia is looking for an Accountant to perform
day-to-day accounting activities and participate in the implementation of
accounting, under the responsibility of the Chief Accountant."
ACCOUNTANT,"The incumbent will be responsible for balancing
currency, coin and checks in cash drawers at shift ends, calculating
daily transactions, receiving cash, checks and paying out money etc."
ACCOUNTANT,"""Sovrano"" LLC is looking for a motivated, proactive
candidate for the position of Accountant to implement all accounting
activities of the company, perform duties and activities related to
accounting procedures, taxation, financial and management reporting,
etc."
ACCOUNTANT,"SAS-Group is seeking an Accountant to perform general
accounting activities."
ACCOUNTANT,"The Accountant will use managerial accounting
principles to manage the day-to-day accounting and long-term finances of
a leading Armenian fashion house and design boutique."
ACCOUNTANT,"""Catherine Group"" Ltd is inviting highly qualified
professionals to fulfill the position of an Accountant in the financial
department."
ACCOUNTANT,"The Accountant is responsible for maintaining accurate
and complete record in accordance with Generally Accepted Accounting
Principles (GAAP) and IntraHealth Accounting and Financial Policies and
Procedures. S/he also verifies all source documents for proper approval
and documentation."
ACCOUNTANT,"""Generoso"" LLC is looking for a qualified professional
to fulfill the position of Accountant."
ACCOUNTANT,"The Accountant will be responsible for maintaining
accurate and complete record in accordance with Generally Accepted
Accounting Principles (GAAP) and Intrahealth Accounting and Financial
Policies and Procedures. S/he will also verify all source documents for
proper approval and documentation."
ACCOUNTANT,"RCF Holding LLC is looking for a candidate to fulfill
the position of an Accountant."
ACCOUNTANT,"Orange Armenia is looking for an Accountant to perform
day-to-day accounting activities and participate in the implementation of
accounting, under the responsibility of the Chief Accountant."
ACCOUNTANT,"The Ministry of Economy of Armenia is seeking a
candidate to fulfill the position of Accountant."
ACCOUNTANT,"Ar & Ar Design Construction is looking for a qualified
Accountant to work in company's office."
ACCOUNTANT,"Cascade Insurance ICJSC is looking for a motivated,
self-driven, highly professional candidate for the position of
Accountant. The successful incumbent will be responsible for overall
accounting of the company; s/he will carry out several accounting
functions, and other duties as assigned. The Accountant will report to
the Chief Accountant of the company. The candidate should be well
organized and hard working person, able to work in a western-style office
environment towards the achievement of team goals."
ACCOUNTANT,"The Accountant controls all contracts, transactions and
accounts related to local roaming and other (Interconnection, VAS) mobile
services of telecommunication operators, prepares the reconciliation
acts, as well as implements check up and control over International
Roaming, Interconnection and other telecommunication related services,
and foreign payables transactions."
ACCOUNTANT,"Freda LLC is looking for a qualified candidate to hold
the position of Accountant."
ACCOUNTANT,"Johnson&Johnson Medical is seeking an Accountant to be
responsible for accounting of the representative office, performing its
documentation, tax and corporate accounting, HR management."
ACCOUNTANT,"SAS-Group LLC is seeking an Accountant to control,
monitor, analyze and administer the financial accountability of the
company in the reporting of financial data."
ACCOUNTANT,Haypost is looking for a qualified Accountant.
ACCOUNTANT,"Space Management LLC is inviting qualified
professionals to fulfill the position of an Accountant."
ACCOUNTANT,"Freda LLC is looking for a qualified candidate to hold
the position of Accountant."
ACCOUNTANT,"Cascade Insurance ICJSC is looking for a motivated,
self-driven, highly professional candidate for the position of
Accountant. The successful incumbent will be responsible for overall
accounting of the company; s/he will carry out several accounting
functions, and other duties as assigned. The Accountant will report to
the Chief Accountant of the Company. The candidate should be well
organized and hard working person, able to work in a western-style office
environment towards the achievement of team goals."
ACCOUNTANT,"Under the direct supervision of Finance Manager the
incumbent acts as the Accountant for all financial operations of CARD
Agroservice. This position is located in CARDs Finance Department."
ACCOUNTANT,"The Accountant under the supervision of Chief
Accountant will work within the accounting team."
ACCOUNTANT,"Freda LLC is looking for a qualified candidate to hold
the position of Accountant."
ACCOUNTANT,"The Accountant under the supervision of Chief
Accountant will work within the accounting team."
ACCOUNTANT,"SAS Group is seeking an Accountant to carry out the
organization's accounting and the reports' drafting."
ACCOUNTANT,"The Accountant will ensure timely and accurate
reporting on financial transactions by organizing, implementing and
execution of accounting procedures in accordance with Project HOPE and
national legislation requirements."
ACCOUNTANT,"Darmantest Laboratories is seeking an Accountant for
its Yerevan branch."
ACCOUNTANT,"The incumbent will be responsible for book-keeping and
entries related to the company's investment operations including trust
management, advisory, etc."
ACCOUNTANT,Haypost is looking for a qualified Accountant.
ACCOUNTANT,"Abt Associates is seeking an Accountant for a
recently-awarded USAID-funded project in Armenia. The incumbent will
support the project in the areas of budget formulation, financial
planning, accounting/budget execution, HR and reporting, and management
advisory services."
ACCOUNTANT,"""Rosgosstrakh Armenia"" ICJSC is looking for an
Accountant to perform standard responsibilities for that position."
ACCOUNTANT,"Freda LLC is looking for a qualified candidate to hold
the position of Accountant."
ACCOUNTANT,"Invest-Intorg LLC is looking for an Accountant to
perform standard responsibilities for that position."
ACCOUNTANT,"""Yerevan TPP"" CJSC is looking for a qualified candidate
to hold the position of Accountant."
ACCOUNTANT,"SAS Group is seeking an Accountant to carry out the
organization's accounting maintenance and the reports' drafting."
ACCOUNTANT,"The Accountant will be responsible for implementing
accounting works within the Cafesjian Museum Foundation. The incumbent
will provide comprehensive, professional quality service and accounting
support to Finance Department."
ACCOUNTANT,"Accountant will assist Senior Accountant for daily
accounting operations."
ACCOUNTANT,"Accountant will perform all the accounting operations
of the company."
ACCOUNTANT,"Accountant will assist Senior Accountant for daily
accounting operations."
ACCOUNTANT,Haypost is looking for a qualified accountant.
ACCOUNTANT,"""Catherine Group"" Co., Ltd invites highly qualified
professionals to fulfill the position of an Accountant."
ACCOUNTANT,"""A&M Rare"" LLC invites highly qualified professionals
to fulfill the position of an Accountant."
ACCOUNTANT,"Agroholding Armenia LLC invites highly qualified
professionals for the Accountant position."
ACCOUNTANT,"- Enter  financial transactions from a wide variety of documents into
accounting software (Navision);
- Prepare proper filing system for all financial and personal
documentation;
- Prepare VAT draft report; 
- Prepare statistic reports;
- Assist Chi"
ACCOUNTANT,"SEAF representative office in Armenia is looking for a
motivated and qualified Accountant who will be responsible for ensuring
implementation of all accounting and financial activities in accordance
with the Armenian legislation, International Financial Reporting
Standards and SEAF internal regulations."
ACCOUNTANT,"Accountant will assist Senior Accountant for daily
accounting operations."
ACCOUNTANT,"""FINLEX"" LLC is looking for highly motivated and
qualified candidates who will perform accounting activities in accordance
with RA legislation requirements."
ACCOUNTANT,"""Armenia"" International Airports is looking for a
motivated and experienced candidate to take over the position of an
Accountant."
ACCOUNTANT,"""Armenia TV"" CJSC is looking for an Accountant to
maintain accounting procedures and apply accounting principles."
Administrative Assistant,"This is an excellent opportunity for the right person
to join CUTS Centre for International Trade, Economics and Environment,
London. CUTS (Consumer Unity & Trust Society) is a charitable
organisation, with its headquarters in Jaipur, India, working at the
local, national, regional and international levels, and has recently
opened an office in London. The London office will coordinate and manage
research and advocacy work on trade and economic issues and will also
support other offices of CUTS by raising funds, organising events, etc.
The organisation is concerned with the impact of international trade and
economic regime on developing countries and advocates for the poor at
different levels. The position will involve providing support for all
these activities. Applicants must have experience in office
administration."
Administrative Assistant,"This is a full-time position based in CCDI's Yerevan
head office with frequent travel outside of Yerevan."
Administrative Assistant,"Vem Radio Station (FM 101.6) is seeking a qualified
Administrative Assistant."
Administrative Assistant,"Armenian Association of Seismology and Physics of the
Earth (AASPE) invites applications from highly qualified and experienced
professionals for the post of Administrative Assistant."
Administrative Assistant,"The Armenian Forests NGO with funding from the
Tufenkian Foundation seeks candidates for two positions on an expanding
project. A full time (or part timesee following sentence)
Administrative Assistant position available on an ambitious,
goal-oriented environmental project. The first choice is to find the
right person for full time, however, there may be a possibility for
someone to do this as a half time position (in the first half of the
day)."
Administrative Assistant,"The incumbent, under supervision of the Mission Administrator, will
carry out administrative activities."
Administrative Assistant,"The Administrative Assistent will be responsible for
the company's general office works."
Administrative Assistant,"The Administrative Assistant will provide high-level
secretarial and administrative support to the Director on a variety of
confidential and important activities."
Administrative Assistant,"Administrative Assistant will be in charge of UniCAD
administration coordination."
Administrative Assistant,"To provide administrative assistance to Heifer
Caucasus Regional office in Yerevan and the Director, ensuring daily
office operations are carried out efficiently and effectively. This
position will include administrative support and office management
functions.
The Administrative Assistant will report to the Heifer Caucasus Regional
Director."
Administrative Assistant,"We are looking for a dedicated and sociable person,
ready to fulfil the position of the Administrative Assistant and work in
a team."
Administrative Assistant,"To manage correspondence, render assistance to the
office personnel as required."
Administrative Assistant,"We need two Administrative Assistants (one for night
shift)."
Administrative Assistant,"Under the direct supervision of the General Director
the Administrative Assistant will be responsible for a variety of tasks
essential to maintaining efficient office operation. This position
requires ability to plan a complex range of duties in a constructive and
autonomous manner."
Administrative Assistant,"Under the direct supervision of the General Director
the Administrative Assistant will be responsible for a variety of tasks
essential to maintaining efficient office operation. This position
requires ability to plan a complex range of duties in a constructive and
autonomous manner."
Administrative Assistant,"The Administrative Assistant (AA) will be responsible
for a wide range of administrative, financial, contractual and reporting
responsibilities for the HEAT project. The AA will work under the direct
supervision of and report to the Office Manager.  The AA has the
authority and the responsibility to question and refer to the COP any
activity that does not appear to be in accordance with company, project
or Government of Armenia (GOA) policy, guidelines or standards.  The
post of assignment is the HEAT project's Yerevan office. The term of
assignment, subject to satisfactory performance, is through the end of
the project."
Administrative Assistant,"The Administrative Assistant will perform duties
assigned by the President of Corporation and report to the Office
Manager."
Administrative Assistant,"Under the supervision of the Chief of Party (COP) and
the Office Administrative Manager, the Administrative Assistant will be
responsible for answering and operating calls, arranging meetings,
filing documents receiving/sending faxes, e-mails, translating,
interpreting, etc."
Administrative Assistant,"Administrative Assistant will work in Armenian
representation of an Austrian industrial company."
Administrative Assistant,"""Cascade Capital Holdings"" CJSC is looking for
motivated, self-driven, highly professional candidate for the position
of Administrative Assistant."
Administrative Assistant,"The incumbent will be working directly with the Chief
Executive Director of Vega Group Co."
Administrative Assistant,"Under general supervision of the Program director, the
incumbent will perform a variety of technical and administrative
services, in support of program activities."
Administrative Assistant,"""Yerevan Djur"" CJSC is looking for a candidate to
fulfill the position of the Administrative Assistant, who will report to
the General Director. The successful candidate will perform a wide
variety of clerical and organizational duties and will work closely with
General Director."
Administrative Assistant,"We are looking for a candidate to fulfill the position
of Administrative Assistant."
Administrative Assistant,"The incumbent will perform, coordinate and oversee
technical and office administrative duties in support of the company."
Administrative Assistant,"The incumbent will work for the Outreach and Medical
Training Program and under the overall supervision of the Country
Director."
Administrative Assistant,"We are looking for a candidate to fulfill the position
of Administrative Assistant."
Administrative Assistant,"We are looking for a candidate to fulfill the
position
of Administrative Assistant."
Administrative Assistant,"Vem Radio Station is seeking a qualified
Administrative Assistant for its School Project, aimed at developing new
learning approaches and techniques to contribute to the establishment of
a quality educational environment in Armenia."
Administrative Assistant,"Under the overall supervision of the Director the
Administrative Assistant will be responsible for organizing office
documentation, regulating foreign calls, correspondence, making offers/
orders as per customer request and translating."
Administrative Assistant,"The Administrative Assistant shall be a resident
professional assigned to work under the direction of PA Government
Services Inc. (PA) management to provide services and supplies in
furtherance of PA's activities in Armenia and abroad."
Administrative Assistant,"Under overall supervision of the President the
Administrative Assistant will be responsible for the NPCL's official
correspondence, secretarial assistance and for making translations."
Administrative Assistant,"Under the overall supervision of the President, the
Assistant will be responsible for the assigned duties and tasks and
provide other secretarial duties."
Administrative Assistant,"We are looking for a candidate who will act as an
Administrative Assistant undertaking all the required tasks."
Administrative Assistant,"FINCA UCO CJSC is seeking an Administrative Assistant
who will work in HR Department."
Administrative Assistant,"CARD is seeking an Administrative Assistant for the
Farm Credit Administration."
Administrative Assistant,"The Administrative Assistant position will be
implemented by the employee, under the supervision of the Rural Credit
Advisor, in accordance with the WtMs policies, procedures, and
guidelines as established by the WtM Activity Team Leader. As an
Administrative Assistant, the employee is expected to bring to bear
his/her experience and good judgment in logistics, organization,
documentation, and communication. The work requires independent
investigation and research on a variety of credit related topics and
demands the ability to positively interface with other donor projects,
senior bankers, and government officials.  This position requires
flexibility and close coordination with WTM team members, other related
projects/donors, and a judicious use of scarce resources."
Administrative Assistant,"Boomerang Software LLC is currently seeking candidates
for the position of Administrative Assistant. The successful candidate
will perform a wide variety of secretarial and clerical duties for the
Managing Director and the rest of the staff if necessary."
Administrative Assistant,"The Services Group, Inc. (TSG) has an immediate
opening for an Administrative Assistant for its USAID Armenia Social
Protection Systems Strengthening (SPSS) project in Yerevan. The position
reports to the Office Manager."
Administrative Assistant,"TM Audit CJSC is looking for candidates to fulfill
the position of Administrative Assistant in the Company."
Administrative Assistant,"Womens Rights Center NGO is seeking a diligent person
with high sense of responsibility to assist the Chief."
Administrative Assistant,"""""Armenia"" International Airports"" CJCS is looking 
for an employee for a job in administrative area."
Administrative Assistant,"Aniplast LLC is looking for a motivated and diligent
employee with high sense of responsibility to provide assistance to the
General Manager."
Administrative Assistant,"The position is located in the Program Office,
USAID/Yerevan. The incumbent will perform duties under the supervision
of the Program Officer or his/her delegate."
